crawl_run_id,serp_observation_id,course_id,university_id,query_template_id,query_type,query_string,organic_rank,absolute_rank,result_title,result_url,result_domain,snippet,is_official_university_domain,matches_target_course,match_type,evidence_capture_path,notes
CR039,[auto_on_import],C018,UNI09,SQ01,known_institution,"""Editoria, culture della comunicazione e della moda"" ""Università degli Studi di Milano""",1,1,"Editoria, culture della comunicazione e della moda",https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,www.unimi.it,"Editoria, culture della comunicazione e della moda. Editoria, culture ... Università degli Studi di Milano Via Festa del Perdono 7 - 20122 Milano Tel ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r001_top10.png,"partial_long_layer_primary_match_only; sponsored block and AI overview visible"
CR039,[auto_on_import],C018,UNI09,SQ02,user_like_institutional,"Editoria, culture della comunicazione e della moda UniMi",1,1,"Editoria, culture della comunicazione e della moda",https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,www.unimi.it,"Il Corso di laurea magistrale in Editoria, culture della comunicazione e della moda ha le finalità seguenti: a) sviluppare attitudini professionali che ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r002_top10.png,"partial_long_layer_primary_match_only; related UniMi results visible below"
CR039,[auto_on_import],C018,UNI09,SQ03,information_seeking,"Editoria, culture della comunicazione e della moda magistrale Milano",1,1,"Editoria, culture della comunicazione e della moda",https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,www.unimi.it,"Il Corso di laurea magistrale in Editoria, culture della comunicazione e della moda ha le finalità seguenti: a) sviluppare attitudini professionali che ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r003_top10.png,"partial_long_layer_primary_match_only; sponsored block and AI overview visible"
CR039,[auto_on_import],C019,UNI10,SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi dell'Insubria""",1,1,[SU02] SCIENZE DELLA COMUNICAZIONE,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,www.uninsubria.it,"SCIENZE DELLA COMUNICAZIONE. Scheda del corso · English version · Home ... Università degli Studi dell'Insubria Sede legale: via Ravasi 2, 21100 Varese",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r004_top10.png,"partial_long_layer_primary_match_only; AI overview visible below result"
CR039,[auto_on_import],C019,UNI10,SQ02,user_like_institutional,Scienze della comunicazione Insubria,1,1,[SU02] SCIENZE DELLA COMUNICAZIONE,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,www.uninsubria.it,"Il corso di studi, attivo dal 2001, fornisce una solida base umanistica - storia, letteratura, linguistica, filosofia, antropologia, diritto, lingua inglese ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r005_top10.png,"partial_long_layer_primary_match_only; people also ask visible below result"
CR039,[auto_on_import],C019,UNI10,SQ03,information_seeking,Scienze della comunicazione triennale Varese,1,1,[SU02] SCIENZE DELLA COMUNICAZIONE,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,www.uninsubria.it,"Il corso di studi, attivo dal 2001, fornisce una solida base umanistica - storia, letteratura, linguistica, filosof...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r006_top10.png,"partial_long_layer_primary_match_only; sponsored block and AI overview visible above result"
CR039,[auto_on_import],C020,UNI10,SQ01,known_institution,"""Scienze e Tecniche della Comunicazione"" ""Università degli Studi dell'Insubria""",1,1,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,www.uninsubria.it,"SCIENZE E TECNICHE DELLA COMUNICAZIONE. Scheda del corso · English ... Università degli ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r007_top10.png,"partial_long_layer_primary_match_only; AI overview and sponsored block visible above result; result snippet partially visible at bottom of screenshot"
CR039,[auto_on_import],C020,UNI10,SQ02,user_like_institutional,Scienze e Tecniche della Comunicazione Insubria,1,1,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,www.uninsubria.it,"Descrizione del corso · comprendere, analizzare e ideare i processi di comunicazione nell'ambito delle aziende e organizzazioni complesse; · comunicare e ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r008_top10.png,"partial_long_layer_primary_match_only; people also ask and video block visible below"
CR039,[auto_on_import],C020,UNI10,SQ03,information_seeking,Scienze e Tecniche della Comunicazione magistrale Varese,1,1,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,www.uninsubria.it,"Per essere ammessi al CdS Magistrale occorre essere in possesso della laurea o del diploma universitario di durata triennale, ovvero di altro titolo di studio ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r009_top10.png,"partial_long_layer_primary_match_only; course catalogue result visible below"
CR039,[auto_on_import],C021,UNI11,SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi di Salerno""",1,1,Scienze della Comunicazione | Home,https://corsi.unisa.it/scienze-della-comunicazione,corsi.unisa.it,"... Studente Internazionale. language it it unisa.itUniversità degli Studi di Salerno · Sitemap; language it it. Scienze della Comunicazione. CORSO DI LAUREA L-20.",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r010_top10.png,"partial_long_layer_primary_match_only; knowledge panel visible on right"
CR039,[auto_on_import],C021,UNI11,SQ02,user_like_institutional,Scienze della comunicazione Unisa,1,1,Scienze della Comunicazione | Home,https://corsi.unisa.it/scienze-della-comunicazione,corsi.unisa.it,"ultime news · Inizio corso Open data · Inizio corso Comunicazione giornalistica multimediale · Al via il Progetto ""Student for Student"" per il Corso di Laurea ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r011_top10.png,"partial_long_layer_primary_match_only; sitelinks and people also ask visible below"
CR039,[auto_on_import],C021,UNI11,SQ03,information_seeking,Scienze della comunicazione triennale Salerno,1,1,Scienze della Comunicazione | Home,https://corsi.unisa.it/scienze-della-comunicazione,corsi.unisa.it,"Inizio corso Open data · Inizio corso Comunicazione giornalistica multimediale · Al via il Progetto ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r012_top10.png,"partial_long_layer_primary_match_only; sponsored block and AI overview visible above result"
CR039,[auto_on_import],C022,UNI11,SQ01,known_institution,"""Corporate Communication e Media"" ""Università degli Studi di Salerno""",1,1,Corporate Communication e Media | Home,https://corsi.unisa.it/corporate-communication-e-media,corsi.unisa.it,"(Corporate Communication e Media). CORSO DI LAUREA MAGISTRALE LM-59. LM-92 ... Università degli Studi di Salerno - Via Giovanni Paolo II, 132 - 84084 ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r013_top10.png,"partial_long_layer_primary_match_only; AI overview visible below result"
CR039,[auto_on_import],C022,UNI11,SQ02,user_like_institutional,Corporate Communication e Media Unisa,1,1,Corporate Communication e Media | Home,https://corsi.unisa.it/corporate-communication-e-media,corsi.unisa.it,"ultime news · Avviso pubblico per affidamento incarico di Social Media Manager · Il prof. Antonio Lieto eletto nel direttivo scientifico dell'Associazione ...",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r014_top10.png,"partial_long_layer_primary_match_only; sitelinks and people also ask visible below"
CR039,[auto_on_import],C022,UNI11,SQ03,information_seeking,Corporate Communication e Media magistrale Salerno,1,1,Corporate Communication e Media | Home,https://corsi.unisa.it/corporate-communication-e-media,corsi.unisa.it,"(Corporate Communication e Media). CORSO DI LAUREA MAGISTRALE LM-59 ... Università degli Studi di Salerno - Via Giovanni Paolo II, 132 - 84084 Fisciano (SA).",true,true,canonical_exact,artifacts/runs/SERP_B004/serp/SERP_B004_r015_top10.png,"partial_long_layer_primary_match_only; AI overview visible below result"
